cache size, block size, set degree, miss rate
128, 4, 1, 53.847691%
128, 4, 2, 53.487907%
128, 4, 4, 53.367979%
128, 4, 8, 53.328003%

256, 4, 1, 53.567859%
256, 4, 2, 53.447931%
256, 4, 4, 53.328003%
256, 4, 8, 53.328003%

512, 4, 1, 53.447931%
512, 4, 2, 53.347991%
512, 4, 4, 53.328003%
512, 4, 8, 53.328003%

1024, 4, 1, 53.387967%
1024, 4, 2, 53.328003%
1024, 4, 4, 53.328003%
1024, 4, 8, 53.328003%

512, 2, 1, 85.788527%
512, 2, 2, 85.628623%
512, 2, 4, 85.608635%
512, 2, 8, 85.608635%

512, 4, 1, 53.447931%
512, 4, 2, 53.347991%
512, 4, 4, 53.328003%
512, 4, 8, 53.328003%

512, 8, 1, 37.477513%
512, 8, 2, 37.397561%
512, 8, 4, 37.377573%
512, 8, 8, 37.377573%

512, 16, 1, 29.922047%
512, 16, 2, 29.782131%
512, 16, 4, 29.762143%
512, 16, 8, 29.762143%

1024, 2, 1, 85.708575%
1024, 2, 2, 85.608635%
1024, 2, 4, 85.608635%
1024, 2, 8, 85.608635%

1024, 4, 1, 53.387967%
1024, 4, 2, 53.328003%
1024, 4, 4, 53.328003%
1024, 4, 8, 53.328003%

1024, 8, 1, 37.417549%
1024, 8, 2, 37.377573%
1024, 8, 4, 37.377573%
1024, 8, 8, 37.377573%

1024, 16, 1, 29.802119%
1024, 16, 2, 29.762143%
1024, 16, 4, 29.762143%
1024, 16, 8, 29.762143%

